0.005,409.5
0.01,480.2
0.015,541.6
0.02,442.6
0.025,451.9
0.03,430.0
0.035,434.0
0.04,446.6
0.045,432.7
0.05,546.6
0.055,495.1
0.06,470.8
0.065,412.9
0.07,463.2
0.075,405.2
0.08,497.2
0.085,463.8
0.09,454.8
0.095,425.3
0.1,471.7
0.105,459.7
0.11,445.3
0.115,584.8
0.12,437.1
0.125,415.5
0.13,431.8
0.135,456.8
0.14,441.1
0.145,440.9
0.15,453.5
0.155,432.9
0.16,420.1
0.165,466.8
0.17,504.7
0.175,570.1
0.18,446.9
0.185,455.0
0.19,497.7
0.195,438.6
0.2,560.2
0.205,424.7
0.21,423.7
0.215,479.6
0.22,462.1
0.225,408.1
0.23,490.3
0.235,499.0
0.24,426.0
0.245,500.3
0.25,447.0
